state_amount_id,year,state,award_amount
1,2015,AK,3712473
2,2015,AL,17096421
3,2015,AR,4440716
4,2015,AZ,39318816
5,2015,CA,336507106
6,2015,CO,29714758
7,2015,CT,43661777
8,2015,DC,23888687
9,2015,DE,7785779
10,2015,FL,82307340
11,2015,GA,38048336
12,2015,HI,11366445
13,2015,IA,8427262
14,2015,ID,3713768
15,2015,IL,102735270
16,2015,IN,16334262
17,2015,KS,8869983
18,2015,KY,18635431
19,2015,LA,43574952
20,2015,MA,68050963
21,2015,MD,47028670
22,2015,ME,11977853
23,2015,MI,70003848
24,2015,MN,32076052
25,2015,MO,31381154
26,2015,MS,5444246
27,2015,MT,2455596
28,2015,NC,22576438
29,2015,ND,2047642
30,2015,NE,8478519
31,2015,NH,6904996
32,2015,NJ,40749888
33,2015,NM,10292957
34,2015,NV,15554510
35,2015,NY,209102768
36,2015,OH,95491545
37,2015,OK,8082799
38,2015,OR,31894306
39,2015,PA,102263057
40,2015,PR,18977953
41,2015,RI,5985905
42,2015,SC,9906624
43,2015,SD,1126640
44,2015,TN,20390357
45,2015,TX,87150963
46,2015,UT,10119752
47,2015,VA,28179238
48,2015,VT,4268389
49,2015,WA,58901039
50,2015,WI,23589890
51,2015,WV,7648101
52,2015,WY,290415
53,2016,AK,3697135
54,2016,AL,17172393
55,2016,AR,4293758
56,2016,AZ,37833350
57,2016,CA,353937202
58,2016,CO,29756915
59,2016,CT,44583760
60,2016,DC,21390844
61,2016,DE,7858054
62,2016,FL,82019040
63,2016,GA,38648979
64,2016,HI,11519682
65,2016,IA,8838430
66,2016,ID,3669450
67,2016,IL,104862190
68,2016,IN,17889804
69,2016,KS,7532204
70,2016,KY,19063607
71,2016,LA,45603512
72,2016,MA,69803032
73,2016,MD,48235071
74,2016,ME,11810751
75,2016,MI,67592108
76,2016,MN,32071558
77,2016,MO,34048619
78,2016,MS,5367903
79,2016,MT,2446282
80,2016,NC,24907727
81,2016,ND,1903991
82,2016,NE,8519702
83,2016,NH,7142578
84,2016,NJ,45574610
85,2016,NM,10758013
86,2016,NV,15762359
87,2016,NY,196014483
88,2016,OH,94869563
89,2016,OK,7891816
90,2016,OR,34686509
91,2016,PA,100574444
92,2016,PR,18715977
93,2016,RI,5932887
94,2016,SC,9734026
95,2016,SD,1264095
96,2016,TN,20611110
97,2016,TX,86315343
98,2016,UT,10089585
99,2016,VA,28460145
100,2016,VT,4478212
101,2016,WA,58713109
102,2016,WI,23586361
103,2016,WV,7864812
104,2016,WY,291611
105,2017,AK,3731246
106,2017,AL,17802978
107,2017,AR,4270569
108,2017,AZ,38526473
109,2017,CA,382567077
110,2017,CO,30593296
111,2017,CT,45869536
112,2017,DC,22090633
113,2017,DE,7952480
114,2017,FL,84273839
115,2017,GA,41032810
116,2017,HI,11762496
117,2017,IA,9108676
118,2017,ID,3717376
119,2017,IL,109111520
120,2017,IN,19300787
121,2017,KS,7835720
122,2017,KY,19389282
123,2017,LA,47049826
124,2017,MA,73552552
125,2017,MD,50221552
126,2017,ME,12932975
127,2017,MI,70300799
128,2017,MN,33094266
129,2017,MO,35730419
130,2017,MS,5026381
131,2017,MT,2500597
132,2017,NC,25577229
133,2017,ND,1816359
134,2017,NE,9050905
135,2017,NH,7253904
136,2017,NJ,45899952
137,2017,NM,10728359
138,2017,NV,15862842
139,2017,NY,200807611
140,2017,OH,95840276
141,2017,OK,8123906
142,2017,OR,36289447
143,2017,PA,102583484
144,2017,PR,19383733
145,2017,RI,5796184
146,2017,SC,9954311
147,2017,SD,1294469
148,2017,TN,20735568
149,2017,TX,88801836
150,2017,UT,10386327
151,2017,VA,29919522
152,2017,VT,4632864
153,2017,WA,59556796
154,2017,WI,23750589
155,2017,WV,8327359
156,2017,WY,292970
157,2018,AK,3925329
158,2018,AL,17027297
159,2018,AR,4124696
160,2018,AZ,40629348
161,2018,CA,415290908
162,2018,CO,32682646
163,2018,CT,49020640
164,2018,DC,22720536
165,2018,DE,8249505
166,2018,FL,85425367
167,2018,GA,43070968
168,2018,HI,12096595
169,2018,IA,9507330
170,2018,ID,4326670
171,2018,IL,116091026
172,2018,IN,22701327
173,2018,KS,7877964
174,2018,KY,21161372
175,2018,LA,51377386
176,2018,MA,78523594
177,2018,MD,53385248
178,2018,ME,13091730
179,2018,MI,73654969
180,2018,MN,34078630
181,2018,MO,36369089
182,2018,MP,14244
183,2018,MS,5049204
184,2018,MT,2681779
185,2018,NC,26157577
186,2018,ND,1876781
187,2018,NE,9108192
188,2018,NH,7674344
189,2018,NJ,48017236
190,2018,NM,11187659
191,2018,NV,16460020
192,2018,NY,214906456
193,2018,OH,104524400
194,2018,OK,8546252
195,2018,OR,38596299
196,2018,PA,108050831
197,2018,PR,18683589
198,2018,RI,7160233
199,2018,SC,10854731
200,2018,SD,1316523
201,2018,TN,21488296
202,2018,TX,97243257
203,2018,UT,10903163
204,2018,VA,30825720
205,2018,VT,4793421
206,2018,WA,67473372
207,2018,WI,25556871
208,2018,WV,8751479
209,2018,WY,288790
